model,term,coef,IRR,CI_lower,CI_upper,p_value
Full sample Poisson,Intercept,-0.3774370025684851,0.6856163922955462,0.6291625419299456,0.7471357654930136,7.367618359483746e-18
Full sample Poisson,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Other arrangement]",0.21792482676455707,1.2434935866693109,1.1492617760887127,1.3454517780536956,5.9592352581184935e-08
Full sample Poisson,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Rented]",0.22418144431408235,1.251298039746501,1.213497224155833,1.2902763624882985,1.5501043385773537e-46
Full sample Poisson,C(sex)[T.Male],0.15672680035381087,1.1696760151722707,1.138943233248569,1.2012380780093643,8.604706966339138e-31
Full sample Poisson,C(race_ethnicity)[T.Black non-Hispanic],0.05599057671340239,1.0575877177374888,0.983406543648624,1.1373645903955187,0.1312983095763472
Full sample Poisson,C(race_ethnicity)[T.Hispanic],0.04929246570789828,1.0505275490986594,0.9770470137807894,1.129534317028108,0.1827506505362092
Full sample Poisson,C(race_ethnicity)[T.Multiple race non-Hispanic],0.2958837156659412,1.3443138251048452,1.181570991554183,1.5294719261776566,6.984420844773313e-06
Full sample Poisson,C(race_ethnicity)[T.Other non-Hispanic],-0.025915947700128027,0.9744169881557093,0.8489121279072078,1.118476736982405,0.7125858813488577
Full sample Poisson,C(race_ethnicity)[T.White non-Hispanic],0.09540321484126782,1.10010234330132,1.0320344254742546,1.1726596864062124,0.003416310180238265
Full sample Poisson,C(education)[T.AA technical],0.051072141235021136,1.0523988118947647,0.9808993252237982,1.1291100226058566,0.15481566619820955
Full sample Poisson,C(education)[T.Bachelor's],-0.06046784636313483,0.9413240355230246,0.8895367815519971,0.9961262515838496,0.03622455583440933
Full sample Poisson,C(education)[T.Doctorate],-0.05856376038088721,0.9431181049129653,0.8614178050194162,1.0325671870626991,0.20524364233759862
Full sample Poisson,C(education)[T.GED],-0.010363672583818375,0.9896898452309645,0.897192600896675,1.0917232139167994,0.835998974024714
Full sample Poisson,C(education)[T.HS graduate],0.22641516850256846,1.2540962184611624,1.167657734564773,1.3469335050864109,5.16962367396973e-10
Full sample Poisson,C(education)[T.Less than HS],0.15538410702254266,1.1681065528760228,1.1057172206723305,1.2340161601555213,2.8841424141207128e-08
Full sample Poisson,C(education)[T.Master's],-0.08156190445185284,0.9216756522618066,0.8798984605045521,0.9654364067021025,0.0005685294238462137
Full sample Poisson,C(education)[T.Professional],-0.20142535902979924,0.8175645990975954,0.7681992458353106,0.8701022258500218,2.3153735995634263e-10
Full sample Poisson,"C(education)[T.Some college, no degree]",0.03781014648119202,1.038534044817856,0.9961437290854109,1.0827282557266988,0.07536295199290773
Full sample Poisson,C(health_insurance)[T.Uninsured],0.4998713422388973,1.648509163557665,1.5803660490722482,1.7195905112799315,3.764515042843938e-119
Full sample Poisson,transportation_barrier,0.2939713306933275,1.3417454362041692,1.2839240609374811,1.402170790584147,4.2899172428238e-39
Full sample Poisson,housing_cost_trouble,0.32782163123344515,1.3879413848162727,1.331779200268803,1.4464719732046398,1.4680655756460048e-54
Full sample Poisson,AGEP_A,-0.0015780029578658001,0.9984232414341642,0.9976671911812686,0.9991798646356242,4.4501120490232707e-05
Full sample Poisson,POVRATTC_A,-0.06488193184983437,0.9371781077310434,0.9311779673570834,0.9432169106225556,3.0494050271924545e-87
