model,term,coef,IRR,CI_lower,CI_upper,p_value
Full sample Poisson,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Other arrangement]",0.21792482676455707,1.2434935866693109,1.1492617760887127,1.3454517780536956,5.9592352581184935e-08
Full sample Poisson,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Rented]",0.22418144431408235,1.251298039746501,1.213497224155833,1.2902763624882985,1.5501043385773537e-46
Full sample Poisson,transportation_barrier,0.2939713306933275,1.3417454362041692,1.2839240609374811,1.402170790584147,4.2899172428238e-39
Full sample Poisson,housing_cost_trouble,0.32782163123344515,1.3879413848162727,1.331779200268803,1.4464719732046398,1.4680655756460048e-54
Renter-only Poisson,transportation_barrier,0.3078864846399621,1.3605465372409729,1.2837369948170896,1.4419518074745128,2.9214852000189313e-25
Renter-only Poisson,housing_cost_trouble,0.2512984328608714,1.2856937203387175,1.216940770322851,1.3583309745468333,3.1885790522315168e-19
Renter-only Poisson,government_rent_assistance,0.05698861253739488,1.0586437550606875,0.9985919162506462,1.1223069022398242,0.05579004642962729
