model,term,coef,IRR,CI_lower,CI_upper,p_value
Non-white subsample,Intercept,-0.42218984777437835,0.6556095615617723,0.5782028773168746,0.743379035410198,4.5164653517603764e-11
Non-white subsample,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Other arrangement]",0.15532019866919133,1.1680319034950746,1.0044947458289208,1.3581937917022073,0.04356647405438674
Non-white subsample,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Rented]",0.16145832881416275,1.1752234841817708,1.1159478015769557,1.237647707016964,9.68458922371476e-10
Non-white subsample,C(sex)[T.Male],0.11887870593842027,1.1262333045915052,1.0750307479494905,1.1798745838576672,5.513046597221915e-07
Non-white subsample,C(race_ethnicity)[T.Black non-Hispanic],0.09031628730413062,1.0945204118747398,1.0154375205833877,1.1797623268068638,0.01825889549915346
Non-white subsample,C(race_ethnicity)[T.Hispanic],0.09571004655258392,1.1004399413761867,1.0209834383630265,1.1860800274268963,0.012312654830226956
Non-white subsample,C(race_ethnicity)[T.Multiple race non-Hispanic],0.3338902322748782,1.3963898566237345,1.2277531414701761,1.588189486810627,3.683685217833459e-07
Non-white subsample,C(race_ethnicity)[T.Other non-Hispanic],0.019841655317701695,1.0200398093587877,0.886408858590641,1.173816351893234,0.781818544096206
Non-white subsample,C(education)[T.AA technical],0.056734646078020395,1.0583749291922977,0.9313044546726279,1.2027833487992483,0.38463521598372663
Non-white subsample,C(education)[T.Bachelor's],-0.043973951286529714,0.9569788852171556,0.8648201085517465,1.0589584789894746,0.3946856275122237
Non-white subsample,C(education)[T.Doctorate],-0.08982427418739078,0.9140918006831524,0.7680451647511146,1.0879097459677816,0.31186532033283365
Non-white subsample,C(education)[T.GED],-0.09647922195801781,0.90802876446353,0.7865875923205803,1.0482192258597518,0.1878117430023618
Non-white subsample,C(education)[T.HS graduate],0.10424620977167029,1.1098736830245675,0.968940023574295,1.2713063371316773,0.1324345591466445
Non-white subsample,C(education)[T.Less than HS],0.10457263340470796,1.1102360311606734,1.0196367021634767,1.2088855199817816,0.016053295384937962
Non-white subsample,C(education)[T.Master's],-0.08838620112331275,0.9154072771287245,0.8406438546670566,0.9968198522691992,0.04202861565684003
Non-white subsample,C(education)[T.Professional],-0.15416351184308918,0.8571318583427135,0.7665921116185518,0.9583649654767125,0.00679788835140894
Non-white subsample,"C(education)[T.Some college, no degree]",0.02275562416377507,1.0230165084829541,0.9508705798060729,1.1006364050532484,0.5419604397937771
Non-white subsample,C(health_insurance)[T.Uninsured],0.49335255952816165,1.6377978408474456,1.5360932221325765,1.7462363148511082,2.105916034822067e-51
Non-white subsample,transportation_barrier,0.25894556951195113,1.2955632847669571,1.2081957005309505,1.389248632567162,3.6136323645659253e-13
Non-white subsample,housing_cost_trouble,0.27420656437714014,1.3154865068264328,1.233716472933811,1.40267621257194,5.547445710868714e-17
Non-white subsample,AGEP_A,3.1900193454659074e-05,1.0000319007022713,0.9986532795172115,1.0014124250467267,0.963850508823892
Non-white subsample,POVRATTC_A,-0.05884676165209819,0.9428512390538427,0.9315310667486381,0.9543089766057619,1.3143780295658301e-21
Nonwhite_renter-only Poisson,Intercept,-0.27787765668250697,0.7573894773876044,0.6480869563701568,0.885126316490519,0.00047491877376078646
Nonwhite_renter-only Poisson,C(sex)[T.Male],0.10473119472833099,1.1104120856126527,1.042440836254478,1.1828153282107619,0.0011554011713707977
Nonwhite_renter-only Poisson,C(race_ethnicity)[T.Black non-Hispanic],0.04940989876687955,1.0506509230062402,0.941629161520171,1.172295216762165,0.37671496895335066
Nonwhite_renter-only Poisson,C(race_ethnicity)[T.Hispanic],0.10614397049276184,1.1119819575731533,0.9964020721766098,1.2409687901061037,0.05801377958349952
Nonwhite_renter-only Poisson,C(race_ethnicity)[T.Multiple race non-Hispanic],0.2825268709510093,1.3264774183275863,1.09785213964784,1.6027134053748164,0.0034202563375921513
Nonwhite_renter-only Poisson,C(race_ethnicity)[T.Other non-Hispanic],0.015742753346667346,1.0158673233211208,0.8220324508757657,1.255408369209969,0.8841287873925098
Nonwhite_renter-only Poisson,C(education)[T.AA technical],0.02149317241258571,1.0217258143912564,0.8566218803821234,1.2186516171263346,0.811098309041531
Nonwhite_renter-only Poisson,C(education)[T.Bachelor's],-0.04592578420992753,0.9551128440147337,0.8282367474539253,1.1014248614375335,0.5276911730701572
Nonwhite_renter-only Poisson,C(education)[T.Doctorate],-0.12898757075270104,0.8789848905982652,0.6742726133535617,1.1458487599805809,0.34032442071921976
Nonwhite_renter-only Poisson,C(education)[T.GED],-0.11710438569939476,0.8894923380373098,0.7470896439599807,1.0590383976323217,0.1883212489585071
Nonwhite_renter-only Poisson,C(education)[T.HS graduate],0.021318828004788508,1.0215476977364877,0.8576048672607083,1.2168304292441483,0.8112132472570908
Nonwhite_renter-only Poisson,C(education)[T.Less than HS],0.0997181407097048,1.1048594592808634,0.9886378853814016,1.2347437244845907,0.07867018212301588
Nonwhite_renter-only Poisson,C(education)[T.Master's],-0.1312132485672817,0.8770307289017608,0.7789594390576043,0.98744923146258,0.030104075570175845
Nonwhite_renter-only Poisson,C(education)[T.Professional],-0.15387376297820352,0.8573802473091984,0.7338219944868603,1.0017427850333325,0.05261922168223003
Nonwhite_renter-only Poisson,"C(education)[T.Some college, no degree]",0.015367985752480396,1.0154866804990992,0.9210789034471508,1.1195709666259315,0.7575613947449887
Nonwhite_renter-only Poisson,C(health_insurance)[T.Uninsured],0.5025102193514795,1.6528651215503962,1.5269195642236715,1.7891990999714598,1.8755422185939888e-35
Nonwhite_renter-only Poisson,transportation_barrier,0.26458055717463924,1.3028843756489905,1.195894053473846,1.4194465566404662,1.4312350543908819e-09
Nonwhite_renter-only Poisson,housing_cost_trouble,0.18832082655090807,1.207220761699989,1.115861955653662,1.3060593741864606,2.7271775473435556e-06
Nonwhite_renter-only Poisson,government_rent_assistance,0.08794477570945455,1.091927819423974,1.0030917346430939,1.188631429862419,0.0422282485215755
Nonwhite_renter-only Poisson,AGEP_A,0.00021646604770128236,1.0002164894781669,0.998361781181527,1.0020746433622985,0.8191892025164577
Nonwhite_renter-only Poisson,POVRATTC_A,-0.039938194133517575,0.9608488234112461,0.943117468312043,0.9789135420247701,2.6394296320795777e-05
