,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.5696831642161938,0.3779527559055118,0.33152173913043476,0.5,0.0,0.5366528354080221,0.35583153185042804,0.47323786592769684
recall,0.9163890739506996,0.15592853275582025,0.07932379713914174,0.02702702702702703,0.0,0.5366528354080221,0.23573368617453774,0.5366528354080221
f1-score,0.7025922615247094,0.22077424300498275,0.12801678908709338,0.05128205128205128,0.0,0.5366528354080221,0.22053306897976738,0.4534900847726659
support,3002.0,1847.0,769.0,148.0,18.0,0.5366528354080221,5784.0,5784.0
