model,term,OR,CI_lower,CI_upper,p_value,coef,IRR
Renter-only Poisson – general_health,C(race_ethnicity)[T.Multiple race non-Hispanic],,0.884151493107787,1.0196931039788235,0.15444951791511918,-0.051812577581063966,0.9495068090301357
Renter-only Poisson – general_health,C(race_ethnicity)[T.Other non-Hispanic],,0.9586837769478213,1.094708430807431,0.47560187573553114,0.024147026803034405,1.0244409270929635
Renter-only Poisson – general_health,C(race_ethnicity)[T.White non-Hispanic],,0.9799723534873336,1.0218671663941592,0.9477165989796406,0.0007002953587325672,1.0007005406227765
Renter-only Poisson – general_health,C(education)[T.AA technical],,0.9637716748271862,1.0392391025801593,0.9670701718188665,0.0007939744904883095,1.0007942897716704
Renter-only Poisson – general_health,C(education)[T.Bachelor's],,0.9894411505000658,1.0445042362309078,0.23339957970549163,0.01646368403571854,1.0165999573079383
Renter-only Poisson – general_health,C(education)[T.Doctorate],,1.0325717658747942,1.1113069201096537,0.0002427688112259487,0.0687946392841262,1.0712162008327282
Renter-only Poisson – general_health,C(education)[T.GED],,0.9518957298000349,1.0576261351892966,0.9003800971142385,0.003363561944907577,1.0033692250670267
Renter-only Poisson – general_health,C(education)[T.HS graduate],,0.8715367450457336,0.9496329209262228,1.556291444332993e-05,-0.09458851000243626,0.9097472093347211
Renter-only Poisson – general_health,C(education)[T.Less than HS],,0.8686298770859157,0.9293007776208019,5.065112176730194e-10,-0.10708049514082386,0.8984533489506302
Renter-only Poisson – general_health,C(education)[T.Master's],,1.030878557445017,1.0743026694790772,1.239665373517684e-06,0.05104158930281047,1.0523666595687653
Renter-only Poisson – general_health,C(education)[T.Professional],,1.0590678980412087,1.1127753482968776,7.637260946946685e-11,0.0821231941635827,1.0855895398873592
Renter-only Poisson – general_health,"C(education)[T.Some college, no degree]",,0.952316409044439,0.9938345226435317,0.011469118896790642,-0.027521249683656053,0.9728540094938615
Renter-only Poisson – general_health,C(health_insurance)[T.Uninsured],,1.0056258825948485,1.0498078131171633,0.013457608202339249,0.027108614356047653,1.0274793957159993
Renter-only Poisson – general_health,transportation_barrier,,0.8626357922944364,0.910806684566817,3.3312453726698436e-18,-0.12059365386070332,0.8863940692312675
Renter-only Poisson – general_health,housing_cost_trouble,,0.9060748805639481,0.949972654063938,5.224597170682878e-10,-0.07497770336153765,0.9277641721202643
Renter-only Poisson – general_health,government_rent_assistance,,0.8951918707429524,0.9388412479490137,8.296731822288851e-13,-0.08691304102458078,0.9167568124001728
Renter-only Poisson – general_health,AGEP_A,,0.9948769705437613,0.9956308487771686,7.738038490776069e-134,-0.004757460510165932,0.995253838280136
Renter-only Poisson – general_health,POVRATTC_A,,1.0126328567972929,1.0176737851371058,1.6966227533760584e-32,0.015036573967239017,1.015150192006632
