model,term,coef,IRR,CI_lower,CI_upper,p_value
Non-white subsample,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Other arrangement]",0.15532019866919133,1.1680319034950746,1.0044947458289208,1.3581937917022073,0.04356647405438674
Non-white subsample,"C(housing_tenure, Treatment(reference=""Owned or being bought""))[T.Rented]",0.16145832881416275,1.1752234841817708,1.1159478015769557,1.237647707016964,9.68458922371476e-10
Non-white subsample,transportation_barrier,0.25894556951195113,1.2955632847669571,1.2081957005309505,1.389248632567162,3.6136323645659253e-13
Non-white subsample,housing_cost_trouble,0.27420656437714014,1.3154865068264328,1.233716472933811,1.40267621257194,5.547445710868714e-17
Nonwhite_renter-only Poisson,transportation_barrier,0.26458055717463924,1.3028843756489905,1.195894053473846,1.4194465566404662,1.4312350543908819e-09
Nonwhite_renter-only Poisson,housing_cost_trouble,0.18832082655090807,1.207220761699989,1.115861955653662,1.3060593741864606,2.7271775473435556e-06
Nonwhite_renter-only Poisson,government_rent_assistance,0.08794477570945455,1.091927819423974,1.0030917346430939,1.188631429862419,0.0422282485215755
