Outcome,Test,Statistic,p_value,df,Effect_Size,Effect_Type,CLES
delayed_medical_care,Chi-square,1027.7341559264726,1.6824482839199867e-225,1.0,0.18852275493719572,Cohen_W,
usual_place_care,Chi-square,36.83516036679451,1.0031053722647023e-08,2.0,0.035690667057437085,Cohen_W,
any_er_visit,Mann-Whitney U,20663854.0,1.5244567652688063e-86,,0.19331947944222783,RBC,0.4033402602788861
doctor_gap_yr,Mann-Whitney U,24689056.5,3.678326472005278e-06,,0.03618265259228759,RBC,0.4819086737038562
general_health,Mann-Whitney U,32527195.0,3.6934278309762496e-93,,-0.2698044902409862,RBC,0.6349022451204931
