Outcome,Test,Statistic,p_value,df,Effect_Size,Effect_Type,CLES
delayed_medical_care,Chi-square,235.81124820526725,3.2216124473925363e-53,1.0,0.09120067812829513,Cohen_W,
usual_place_care,Chi-square,529.1569769856063,1.2445788523834243e-115,2.0,0.1366180469065476,Cohen_W,
any_er_visit,Mann-Whitney U,77716212.5,4.083391173299129e-34,,0.06544733788022017,RBC,0.4672763310598899
doctor_gap_yr,Mann-Whitney U,77480824.5,4.109618344256093e-57,,0.06827792463882021,RBC,0.4658610376805899
general_health,Mann-Whitney U,89169347.0,1.8216274286596116e-23,,-0.07227884552830477,RBC,0.5361394227641524
