Outcome,Test,Statistic,p_value,df,Effect_Size,Effect_Type,CLES
delayed_medical_care,Chi-square,24.442155810963836,7.65746518132515e-07,1.0,0.054295807514586784,Cohen_W,
usual_place_care,Chi-square,71.03998540418507,3.748548827721285e-16,2.0,0.0925652491015699,Cohen_W,
any_er_visit,Mann-Whitney U,3595331.5,4.270232343604143e-34,,0.16645650324228956,RBC,0.4167717483788552
doctor_gap_yr,Mann-Whitney U,4742348.0,3.621398423559376e-17,,-0.09946838970535388,RBC,0.5497341948526769
general_health,Mann-Whitney U,5922802.5,3.4062559050367597e-103,,-0.37314556570244206,RBC,0.686572782851221
