Outcome,Test,Statistic,p_value,df,Effect_Size,Effect_Type,CLES
delayed_medical_care,Chi-square,363.4904369462953,4.892844237652918e-81,1.0,0.11211658920917915,Cohen_W,
usual_place_care,Chi-square,37.34652688896397,7.767919690756064e-09,2.0,0.03593755217059513,Cohen_W,
any_er_visit,Mann-Whitney U,19536848.5,4.722366232191407e-60,,0.16743426495875935,RBC,0.4162828675206203
doctor_gap_yr,Mann-Whitney U,22978820.5,0.011048382648303365,,0.020754110881126664,RBC,0.48962294455943667
general_health,Mann-Whitney U,30086380.0,2.576697928937768e-93,,-0.28213560541405025,RBC,0.6410678027070251
